"epochs","GPMean","GPVariance","runtimeGP"
96,0.159096590062036,-4.45045895149931e-05,11618.548
97,0.159087725411052,-4.47637925787836e-05,11618.548
98,0.159080294654618,-4.49640894012449e-05,11618.548
99,0.159067720893632,-4.5273320882111e-05,11618.548
100,0.159185421050529,-4.56285194129213e-05,11618.548
101,0.159156965022013,-4.58879842005766e-05,11618.548
102,0.159066955826514,-4.60716805832373e-05,11618.548
103,0.159060867794597,-4.63366944610799e-05,11618.548
104,0.158965679476926,-4.66087732118314e-05,11618.548
105,0.158979235519518,-4.70283160287632e-05,11618.548
106,0.159045507777626,-4.71884386321619e-05,11618.548
107,0.159122327135844,-4.73599734727159e-05,11618.548
108,0.159113084346906,-4.75210189962993e-05,11618.548
109,0.159199882911221,-4.77507654615961e-05,11618.548
110,0.159179827009849,-4.79754151020417e-05,11618.548
111,0.159215024650732,-4.82423683427768e-05,11618.548
112,0.159146945556195,-4.84166962488874e-05,11618.548
113,0.159146145107316,-4.86265360347682e-05,11618.548
114,0.15918374643132,-4.89018020221055e-05,11618.548
115,0.159159195139441,-4.90391039335014e-05,11618.548
116,0.15918345687059,-4.93219140498269e-05,11618.548
117,0.159230902314321,-4.94790425130676e-05,11618.548
118,0.159233686147648,-4.96183217805202e-05,11618.548
119,0.159239574642099,-4.97733402960998e-05,11618.548
120,0.159175609945146,-4.99749010752781e-05,11618.548
121,0.159228263899851,-5.01204567279201e-05,11618.548
122,0.159185410621759,-5.03001877286691e-05,11618.548
123,0.159114177050724,-5.04722922552991e-05,11618.548
124,0.159157390799833,-5.06049873085779e-05,11618.548
125,0.159191632815657,-5.08526477270843e-05,11618.548
126,0.159198705460084,-5.09846838810946e-05,11618.548
127,0.159277930340657,-5.10975942616954e-05,11618.548
128,0.159320871581646,-5.12827240858327e-05,11618.548
129,0.159327091045296,-5.13906304591139e-05,11618.548
130,0.159269736734371,-5.1510240208219e-05,11618.548
131,0.159227222257454,-5.16167992176131e-05,11618.548
132,0.159257100599932,-5.17037579103041e-05,11618.548
133,0.159299198300464,-5.18288800754885e-05,11618.548
134,0.159177138735608,-5.19249544705946e-05,11618.548
135,0.159190101457593,-5.19929951344755e-05,11618.548
136,0.159312054296123,-5.20921862441348e-05,11618.548
137,0.159328160378644,-5.22402104765618e-05,11618.548
138,0.159360925745612,-5.2315583529583e-05,11618.548
139,0.159371739141076,-5.24075427139614e-05,11618.548
140,0.159321386454381,-5.25286833993333e-05,11618.548
141,0.1594412500888,-5.26559487418199e-05,11618.548
142,0.159445365620851,-5.27280592963475e-05,11618.548
