"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"2734",83,17,1,2,1,0,1,29300
"1650",71,16,2,1,1,0,3,19170
"3371",67,18,2,2,1,0,1,12000
"341",17,14,1,2,1,1,1,0
"3040",46,17,1,2,1,0,1,6000
"3791",35,16,1,2,1,0,1,50000
"4370",73,18,1,2,1,0,1,10900
"787",74,18,2,1,1,0,1,39400
"257",44,21,2,2,1,0,1,28800
"4368",61,19,2,1,1,0,3,2400
"2953",66,21,1,2,1,0,1,59400
"3223",67,19,2,2,1,0,1,39500
"289",19,16,1,2,1,0,1,3180
"3981",39,21,1,2,1,0,1,52010
"2592",45,22,2,2,1,0,1,0
"3299",35,13,2,2,1,0,1,42900
"675",55,15,1,1,1,0,1,48000
"100",66,16,1,2,1,0,1,27900
"1974",63,18,2,2,1,0,1,9000
"846",23,8,2,2,1,0,1,28500
"2004",27,17,1,2,1,0,1,35000
"1667",63,23,1,2,1,0,1,150000
"2677",48,17,1,2,1,0,1,70000
"1955",89,14,2,2,1,0,1,16400
"1969",70,16,1,2,1,0,1,30200
"4198",27,13,2,2,1,0,1,73000
"791",35,14,1,2,1,0,1,100000
"3277",57,19,2,2,1,0,1,28800
"1906",36,19,2,2,1,0,1,50000
"4393",30,21,2,2,1,0,1,12000
"2151",20,17,1,2,2,0,1,15500
"2616",41,21,2,2,1,0,1,160000
"1642",75,21,1,1,1,0,1,26400
"3782",26,21,1,2,1,0,1,34400
"4444",31,22,1,2,2,0,9,20000
"2086",55,17,2,1,1,0,1,0
"507",30,16,2,2,1,0,1,33010
"2205",21,16,1,2,1,0,1,15600
"3422",15,12,1,2,1,1,1,0
"1671",32,17,1,2,2,0,1,24500
"3318",71,18,2,2,1,0,1,28950
"2044",73,16,1,2,1,0,1,3800
"773",29,20,2,2,1,0,1,53000
"221",71,16,2,1,1,0,1,10000
"3756",34,19,2,2,2,0,1,0
"1294",59,16,2,2,1,0,1,500
"2469",40,18,2,2,1,0,1,24000
"1388",37,21,1,2,1,0,1,126000
"1357",36,19,1,2,2,0,3,480
"3692",44,23,2,2,1,0,1,180000
"527",70,21,1,2,1,0,1,25700
"3144",78,19,2,1,1,0,1,29500
"2002",76,16,2,2,1,0,1,13000
"1553",44,16,1,2,1,0,1,35000
"772",38,19,1,2,1,0,1,55000
