"","AGE","EDUCATION","SEX","DISABILITY","INSURANCE","CHILD","RACE","INCOME"
"412",19,16,1,2,1,0,1,900
"413",63,20,2,2,1,0,1,52120
"414",46,20,2,2,1,0,1,60000
"415",45,22,1,2,1,0,1,91000
"416",15,13,2,2,1,1,1,0
"417",64,19,1,1,1,0,1,60250
"418",61,19,2,2,1,0,1,0
"419",77,21,2,2,1,0,1,61420
"420",55,16,1,2,1,0,1,58000
"421",52,18,2,2,1,0,1,62000
"422",24,19,2,2,1,0,1,48000
"423",19,19,2,2,1,0,1,4800
"424",53,16,1,2,1,0,1,80000
"425",55,16,2,2,1,0,1,10000
"426",56,22,1,2,1,0,1,50000
"427",54,22,2,2,1,0,1,49200
"428",17,15,2,2,1,1,1,0
"429",70,21,1,2,1,0,1,16310
"430",65,17,2,2,1,0,1,9300
"431",69,21,1,2,1,0,1,19500
"432",59,16,2,1,1,0,1,54200
"433",61,19,1,1,1,0,1,11100
"434",56,19,2,1,1,0,1,7500
"435",57,16,1,2,1,0,1,95600
"436",33,21,1,2,1,0,1,53000
"437",31,21,2,2,1,0,1,25000
"438",26,19,1,2,1,0,1,42000
"439",26,16,2,2,1,0,1,12000
"440",58,20,2,1,1,0,1,42000
"441",60,20,1,1,1,0,1,146000
"442",87,22,2,2,1,0,1,23200
"443",32,20,2,2,1,0,1,26100
"444",41,17,1,2,1,0,1,21000
"445",69,21,2,1,1,0,1,17600
"446",24,21,1,2,1,0,1,36000
"447",23,19,2,2,1,0,1,39000
"448",50,21,1,2,1,0,1,95000
"449",50,22,2,2,1,0,1,70000
"450",16,14,2,2,1,1,1,0
"451",59,22,1,1,1,0,1,154000
"452",58,18,2,2,1,0,1,61000
"453",37,21,1,2,1,0,1,50000
"454",55,21,1,2,1,0,1,234400
"455",50,21,2,2,1,0,1,83600
"456",71,23,1,1,1,0,1,47200
"457",70,21,2,2,1,0,1,34200
"458",38,21,2,2,1,0,1,7800
"459",47,18,2,2,2,0,1,15000
"460",51,16,1,2,2,0,1,12000
"461",16,12,2,2,2,1,1,300
"462",50,21,2,2,1,0,1,50000
"463",58,16,1,2,1,0,1,59000
"464",21,19,1,2,1,0,1,7000
"465",26,17,1,2,1,0,1,42000
"466",24,21,2,2,1,0,1,35000
"467",26,16,1,2,2,0,1,18200
"468",39,19,1,2,1,0,1,40800
"469",63,19,1,1,1,0,1,33300
"470",62,20,2,2,1,0,1,13800
"471",57,21,1,2,1,0,1,109000
"472",69,21,1,1,1,0,1,18800
"473",45,19,2,2,2,0,1,0
"474",39,17,1,2,2,0,1,44200
"475",31,16,1,2,2,0,1,80000
"476",26,22,2,2,1,0,1,41000
"477",57,16,2,2,1,0,1,50000
"478",82,13,2,2,1,0,1,19700
"479",69,23,2,2,1,0,1,14400
"480",71,23,1,2,1,0,1,111000
"481",20,15,1,2,1,0,1,12800
"482",20,16,2,2,1,0,1,9000
"483",83,19,2,2,1,0,1,19200
"484",26,16,1,2,2,0,1,35300
"485",70,21,2,1,1,0,1,12900
"486",75,20,1,1,1,0,1,60100
"487",31,20,2,2,1,0,1,72000
"488",33,19,1,2,1,0,1,55000
"489",57,19,1,2,2,0,1,9000
"490",46,22,2,1,1,0,1,32600
"491",19,16,2,1,1,0,1,0
"492",60,20,2,1,1,0,1,9000
"493",64,18,1,2,1,0,1,46000
"494",38,19,1,2,1,0,1,35500
"495",53,17,1,2,1,0,1,70000
"496",18,17,1,2,2,0,1,2200
"497",53,17,2,1,1,0,1,1300
"498",17,14,2,2,1,0,1,0
"499",62,18,1,2,1,0,1,34730
"500",61,16,2,2,1,0,1,35000
"501",23,16,2,2,1,0,1,25000
"502",27,16,1,2,1,0,1,38000
"503",86,19,1,1,1,0,1,1300
"504",82,19,2,2,1,0,1,9600
"505",29,16,2,2,2,0,8,11000
"506",33,16,1,2,2,0,8,20000
"507",30,16,2,2,1,0,1,33010
"508",33,20,1,2,1,0,1,100010
"509",33,19,1,2,1,0,1,111900
"510",31,21,2,2,1,0,1,600
"511",45,16,1,1,1,0,1,78000
"512",52,16,2,2,1,0,1,68000
"513",44,1,1,2,1,0,1,15000
"514",41,13,2,2,2,0,1,5000
"515",19,19,1,2,2,0,1,5000
"516",15,13,2,2,2,1,1,0
"517",32,19,1,2,1,0,1,42040
"518",50,19,2,2,1,0,1,66000
"519",58,24,1,2,1,0,1,20000
"520",15,12,2,2,1,1,1,0
"521",56,19,1,1,1,0,6,158000
"522",54,17,2,2,1,0,6,36000
"523",26,21,1,2,1,0,6,92380
"524",21,18,1,2,1,0,6,12770
"525",30,22,2,2,1,0,1,13000
"526",55,20,1,2,1,0,1,92000
"527",70,21,1,2,1,0,1,25700
"528",68,21,2,2,1,0,1,14900
"529",70,20,2,2,1,0,1,24310
"530",66,21,1,2,1,0,1,88110
"531",62,19,2,1,1,0,1,11400
"532",63,16,1,1,1,0,1,96000
"533",36,18,2,2,1,0,1,4000
"534",15,11,2,2,1,0,1,0
"535",33,16,1,2,1,0,1,73000
"536",33,20,2,2,1,0,1,0
"537",79,16,2,2,1,0,1,10100
"538",84,16,1,1,1,0,1,28200
"539",37,20,2,2,1,0,1,65000
"540",37,20,1,2,1,0,1,75000
"541",15,13,1,2,1,1,1,0
"542",31,16,1,2,1,0,1,30000
"543",27,16,2,2,1,0,1,0
"544",30,18,1,2,1,0,1,70000
"545",40,21,2,2,2,0,1,0
"546",32,22,1,2,1,0,1,81000
"547",26,18,1,2,1,0,1,44000
"548",24,19,2,2,1,0,1,0
"549",29,16,2,2,2,0,1,1200
"550",39,16,1,2,2,0,1,0
"551",53,22,2,2,1,0,1,90300
"552",53,21,1,2,1,0,1,118100
"553",18,14,2,2,1,0,1,6000
"554",73,17,2,2,1,0,1,7800
"555",76,17,1,2,1,0,1,16000
"556",74,18,2,1,1,0,1,25800
"557",21,18,2,2,1,0,1,15000
"558",22,16,1,2,1,0,1,40000
"559",67,17,1,2,1,0,8,56110
"560",67,11,2,2,1,0,8,0
"561",20,19,1,2,1,0,8,18500
"562",16,13,2,2,1,0,8,0
"563",42,18,2,2,1,0,1,213000
"564",42,18,1,2,1,0,1,100000
"565",63,21,1,2,1,0,1,94900
"566",66,19,2,2,1,0,1,27900
"567",63,22,2,2,1,0,1,106000
"568",54,19,1,2,1,0,1,7000
"569",93,20,2,1,1,0,1,6000
"570",23,19,2,2,1,0,1,24000
"571",28,14,1,2,1,0,1,26000
"572",41,15,1,2,2,0,1,0
"573",19,16,1,2,1,0,1,50000
"574",19,16,2,2,1,0,1,20000
"575",59,21,2,2,1,0,1,35000
"576",66,18,1,2,1,0,1,46200
"577",36,22,1,1,1,0,1,1010
"578",49,19,2,2,1,0,1,50000
"579",44,18,2,1,1,0,1,32000
"580",17,13,1,1,1,1,1,0
"581",26,16,1,2,1,0,9,130000
"582",27,16,2,2,1,0,1,0
"583",73,20,1,2,1,0,1,34550
"584",65,16,2,2,1,0,1,9000
"585",63,16,2,2,2,0,1,8510
"586",90,19,2,2,1,0,1,20600
"587",64,21,2,2,1,0,1,21400
"588",93,16,1,1,1,0,1,19500
"589",21,18,2,2,1,0,9,0
"590",67,20,1,2,1,0,1,29200
"591",68,22,2,2,1,0,1,73000
"592",93,12,2,1,1,0,1,22800
"593",46,20,2,2,2,0,3,35960
"594",48,20,1,2,2,0,3,15000
"595",25,19,2,2,2,0,3,10400
"596",41,20,2,2,1,0,1,36400
"597",16,13,2,2,1,1,1,0
"598",63,19,2,2,1,0,1,71220
"599",57,23,1,2,1,0,1,150000
"600",62,21,2,2,1,0,1,33300
"601",67,19,1,2,1,0,1,58610
"602",55,20,2,2,1,0,1,34500
"603",85,23,1,2,1,0,6,79100
"604",26,20,1,2,1,0,1,25000
"605",26,19,1,2,1,0,1,32000
"606",25,21,2,2,1,0,1,50000
"607",30,21,1,2,1,0,1,56000
"608",61,19,2,1,1,0,9,47500
"609",22,21,2,2,1,0,1,9600
"610",52,21,1,1,1,0,1,60000
"611",53,19,2,2,2,0,1,16000
"612",57,17,1,2,2,0,1,14000
"613",47,21,1,2,1,0,1,32800
"614",47,21,2,2,1,0,1,31000
"615",18,14,2,2,1,0,1,1000
"616",15,11,1,2,1,1,1,600
"617",19,16,2,2,2,0,8,2500
"618",21,16,1,2,2,0,8,41100
"619",15,12,1,2,1,0,8,0
"620",45,6,1,2,1,0,8,11000
"621",37,5,2,2,1,0,8,20800
"622",49,19,2,2,1,0,1,20000
"623",71,19,2,2,1,0,1,38300
"624",75,16,1,2,1,0,9,25800
"625",28,20,2,2,2,0,9,10600
"626",78,18,2,2,1,0,1,12700
"627",51,19,2,2,2,0,1,0
"628",54,20,1,2,1,0,1,25500
"629",22,17,2,2,2,0,1,25000
"630",72,21,1,1,1,0,1,35300
"631",57,19,2,2,1,0,1,70200
