"","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"233","6","1","16","1","1","0","1",13560
"234","1","2","21","2","1","0","1",28799.9999999999
"235","1","1","16","1","1","0","1",106000
"236","6","1","19","1","1","0","1",49100
"237","1","1","17","2","1","0","1",52000.0000000001
"238","1","2","16","2","1","0","1",30000.0000000001
"239","1","1","19","2","1","0","1",24000
"240","2","1","20","2","2","0","1",57999.9999999999
"241","1","2","16","2","2","0","1",25000
"242","1","1","16","2","2","0","1",25000
"243","1","1","21","2","1","0","1",125000
"244","6","2","13","2","1","1","1",1500
"245","6","2","18","2","1","0","2",42499.9999999999
"246","1","1","16","2","1","0","1",50000
"247","1","2","17","2","1","0","1",120000
"248","1","2","16","1","1","0","1",34999.9999999999
"249","1","1","16","2","1","0","1",34999.9999999999
"250","1","1","20","2","1","0","3",42220.0000000001
"251","3","1","16","2","2","0","1",55000.0000000001
"252","1","1","19","2","2","0","1",9999.99999999999
"253","1","1","19","1","1","0","1",54070
"254","1","2","14","2","2","0","1",27399.9999999999
"255","1","1","12","2","2","0","1",24000
"256","1","1","16","2","2","0","1",13000
"257","6","1","16","1","1","0","1",2500
"258","2","1","21","2","1","0","1",54000
"259","6","2","22","2","1","0","1",500
"260","6","1","18","2","1","0","1",42820
"261","6","2","21","2","1","0","1",30000.0000000001
"262","1","1","21","1","1","0","1",141800
"263","1","2","18","2","1","0","1",27300
"264","3","1","16","2","1","0","1",3180
"265","6","1","18","2","1","0","1",35100
"266","1","2","24","2","1","0","1",120000
"267","6","1","22","2","1","0","1",79200
"268","6","2","22","1","1","0","1",13200
"269","1","1","19","2","1","0","1",128000
"270","6","2","16","1","1","0","1",7000
"271","1","1","16","2","1","0","1",73000.0000000001
"272","1","1","21","1","1","0","2",86800
"273","1","2","19","2","1","0","1",33899.9999999999
"274","1","1","16","2","1","0","1",460000
"275","1","1","19","1","1","0","1",44000.0000000001
"276","6","2","19","2","1","0","1",207800
"277","1","2","21","2","1","0","1",22000
"278","1","2","21","2","1","0","1",283000
"279","6","2","18","1","1","0","1",19200
"280","1","2","22","1","1","0","1",75000
"281","1","2","14","2","1","0","1",1500
"282","6","1","22","2","1","0","1",67999.9999999998
"283","6","2","19","2","1","0","1",76200
"284","1","1","16","2","1","0","1",39410
"285","1","2","16","2","1","0","1",17110
"286","1","1","16","2","1","0","1",21199.9999999999
"287","1","2","16","2","1","0","1",105000
"288","1","2","22","2","1","0","1",79999.9999999999
"289","1","1","19","2","1","0","1",24000
"290","1","2","14","2","1","0","1",7000
"291","6","1","22","2","1","0","1",56399.9999999999
"292","1","2","21","2","1","0","1",84500
"293","3","1","16","2","1","0","1",380
"294","6","1","19","1","1","0","1",224800
"295","6","2","20","2","1","0","1",8400.00000000002
"296","6","2","22","2","1","0","1",11000
"297","1","1","13","2","1","0","8",48000.0000000001
"298","6","2","16","2","1","0","1",11100
"299","6","2","16","1","1","0","1",4400
"300","1","1","16","2","1","0","1",45000.0000000001
"301","1","1","18","2","1","0","2",87000
"302","6","1","18","1","1","0","1",24000
"303","6","1","19","2","1","0","1",61200
"304","6","2","20","2","1","0","1",54399.9999999999
"305","6","2","19","2","1","0","1",21600
"306","1","1","22","2","1","0","1",237400
"307","1","2","16","2","1","0","1",48000.0000000001
"308","6","2","19","1","1","0","1",37210.0000000001
"309","1","2","19","2","1","0","3",36599.9999999999
"310","1","2","19","2","2","0","1",23400
"311","6","1","22","1","1","0","1",26500
"312","1","1","19","1","1","0","1",9999.99999999999
"313","1","1","21","2","1","0","1",2400
"314","1","1","16","2","1","0","1",37999.9999999999
"315","1","2","19","2","1","0","3",60540.0000000001
"316","1","1","20","2","1","0","3",41249.9999999999
"317","1","1","21","2","2","0","3",40450.0000000001
"318","1","1","19","2","1","0","3",30450.0000000001
"319","6","2","18","2","2","0","3",899.999999999999
"320","1","2","19","2","2","0","1",37199.9999999999
"321","1","1","19","2","1","0","3",48799.9999999999
"322","1","1","22","2","1","0","1",539999.999999999
"323","1","1","20","2","1","0","1",39999.9999999999
"324","1","2","18","2","1","0","1",30000.0000000001
"325","1","1","16","1","1","0","1",36000
"326","6","2","16","1","1","0","1",13100
"327","1","1","24","2","1","0","1",121400
"328","1","1","24","2","1","0","1",106000
"329","3","1","16","2","1","0","1",22600
"330","1","2","19","2","1","0","1",43200
"331","1","1","20","2","1","0","1",15600
"332","1","1","16","1","1","0","5",39999.9999999999
"333","1","2","24","2","1","0","5",30000.0000000001
"334","1","1","22","2","1","0","1",66000
"335","6","2","19","2","1","0","1",8000
"336","6","2","17","1","1","0","1",14100
