"","Mobility","Employment","Sex","Education","Disability","Health_insurance","Own_child","Race","Total_person_income"
"2056",1,1,1,17,2,1,0,1,42300
"1984",1,6,2,21,2,1,0,1,71000
"5005",1,1,1,18,2,2,0,1,12000
"2564",3,1,1,19,2,1,0,1,1500
"3182",3,1,1,16,2,1,0,1,8800
"2567",1,6,2,19,1,2,0,1,700
"2866",1,1,2,22,2,1,0,1,55000
"3020",1,6,2,22,1,1,0,1,44400
"3273",1,6,2,17,1,1,0,1,8200
"3856",1,2,2,20,2,1,0,1,2000
"3976",1,3,1,16,2,2,0,1,15000
"3631",1,1,2,21,2,1,0,1,60000
"5159",1,6,2,19,2,1,0,1,800
"3087",1,1,1,19,2,1,0,1,7000
"4239",1,1,1,16,2,1,0,1,7400
"4892",1,6,2,19,1,1,0,1,12200
"163",1,1,1,15,2,1,0,1,30000
"1837",1,3,2,19,2,1,0,1,32400
"5431",1,1,2,18,2,1,0,1,105020
"5026",1,1,1,14,2,1,0,1,60000
"1838",1,1,2,16,2,1,0,1,196000
"716",1,1,2,19,2,1,0,1,24000
"4078",1,1,2,21,2,1,0,1,65000
"4436",1,6,2,21,2,1,0,1,700
"4669",1,1,2,16,2,1,0,1,41000
"2244",1,6,1,16,2,1,0,1,2000
"1466",1,6,2,13,1,1,0,3,8600
"3291",1,1,2,17,1,1,0,1,46000
"538",1,6,1,19,1,1,0,1,11100
"4697",1,1,1,16,1,1,0,1,100000
"2471",1,1,2,20,2,1,0,1,43200
"3293",1,6,1,22,2,1,0,1,17500
"3843",3,1,2,21,2,1,0,1,10300
"5712",1,1,1,18,2,1,0,1,60000
"2920",1,6,1,14,2,1,0,1,6000
"221",1,1,2,19,2,1,0,1,20000
"1366",1,1,2,19,2,1,0,1,18000
"3135",1,6,2,19,2,1,0,1,10800
"262",1,6,2,19,2,1,0,1,33300
"2512",1,1,1,18,2,1,0,1,22200
"1019",1,1,2,17,2,1,0,2,36500
"342",1,6,1,16,1,1,0,1,2500
"623",1,6,1,19,1,1,0,1,1300
"1351",1,1,2,20,2,1,0,1,80000
"3902",1,6,1,19,1,2,0,3,5800
"3953",3,4,2,19,2,1,0,6,38000
"2438",1,1,1,17,2,1,0,1,5000
"579",1,1,2,21,2,1,0,1,35000
"2774",1,1,1,19,2,1,0,1,121800
"1930",1,1,2,21,2,1,0,1,50000
"804",3,1,1,16,2,1,0,1,80000
"2092",1,6,1,19,2,1,0,1,18800
"2973",1,1,2,20,2,1,0,1,28800
"5471",3,1,1,19,2,2,0,1,27000
"108",3,1,1,16,2,1,0,1,35220
"3818",1,6,1,19,2,1,0,1,35000
"425",1,1,1,21,2,2,0,3,40450
"706",1,1,1,19,2,1,0,8,18500
"756",3,1,1,20,2,1,0,1,25000
"1776",1,1,1,21,2,1,0,1,213000
"4559",1,6,2,14,2,1,1,1,400
"1543",3,1,2,18,2,2,0,1,98000
"1348",1,1,2,20,2,1,0,1,24000
"625",1,1,2,16,2,2,0,8,11000
"356",1,6,1,18,2,1,0,1,35100
"1639",1,1,1,21,2,1,0,1,57500
"4053",1,6,1,17,2,1,0,1,9600
