"epochs","BARTMean","BARTsd","MIMean","MIsd","BRSMean","BRSsd","PoptMean"
73,54412.570589435,5528.69734172176,46485.3211009174,4975.58284522235,48224.6788990826,3625.899395471,47916.4753747323
74,52559.0927931248,4841.37383659441,47190,4980.50098735154,47949.9090909091,3603.2224528003,47916.4753747323
75,53192.2635352943,4650.0608436669,47215.3153153153,4935.28922313881,48187.2972972973,3578.42033560622,47916.4753747323
76,52780.7362536343,5131.15722222085,47508.0357142857,4899.65789224831,48003.4821428571,3550.98597795443,47916.4753747323
77,53358.3001247595,4517.92861808617,47158.407079646,4868.59350690045,48676.017699115,3583.52891336077,47916.4753747323
78,53892.6259071154,3989.66299995598,46977.1929824561,4828.94009979532,48689.3859649123,3551.84164827894,47916.4753747323
79,56148.1997046324,4927.14862075481,46883.4782608696,4787.50633722345,48857.3043478261,3524.72237134226,47916.4753747323
80,56299.6228653216,4775.22672613413,46608.6206896552,4753.8974715972,48910.2586206897,3494.47735062695,47916.4753747323
81,55214.1223608334,4959.80857128013,48027.3504273504,4923.58803765945,48505.0427350427,3488.17344646547,47916.4753747323
82,54494.5073859147,5310.4451791054,48154.2372881356,4883.16900975813,48627.8813559322,3460.55951727059,47916.4753747323
83,55252.9939900492,4185.39395189346,47952.1008403361,4846.03953992848,48693.1932773109,3431.85954321315,47916.4753747323
84,54700.342007366,4170.5707599794,48079.1666666667,4807.01032309661,48788.25,3404.35889242518,47916.4753747323
85,54583.6168498825,5034.25484896272,47958.6776859504,4768.48707945972,48451.1570247934,3392.9164327031,47916.4753747323
86,54515.7261798976,4645.99137054446,47913.1147540984,4729.29939519304,48127.7868852459,3380.50611652805,47916.4753747323
87,53763.4564182153,4828.61627581881,47832.5203252033,4691.23267055426,47764.9593495935,3372.53182739919,47916.4753747323
88,54703.4007878099,4218.46748228433,47645.1612903226,4656.89373334019,47976.5322580645,3351.85129929484,47916.4753747323
89,55756.1506851166,4516.3833182483,47272,4634.50721943698,47915.92,3325.37713722619,47916.4753747323
90,54922.7657711631,3839.14805986064,47182.5396825397,4598.30843462977,48329.2857142857,3324.77801952036,47916.4753747323
91,55240.3496778908,4778.53023897035,47346.4566929134,4564.78129825807,48011.7322834646,3313.76266188006,47916.4753747323
92,54308.1202072931,5020.86909285478,47375,4528.92879383106,47917.890625,3289.01959644343,47916.4753747323
93,54101.4700556044,4120.99871930913,47062.015503876,4504.51829695969,47778.992248062,3266.30186399845,47916.4753747323
94,54330.136928291,3448.91550838139,47007.6923076923,4469.93221730079,47698.3846153846,3241.99171860657,47916.4753747323
95,55385.3984769918,3782.22400703771,46900.7633587786,4436.84673013681,47471.679389313,3225.09266167082,47916.4753747323
96,55714.626792366,3290.07565515663,46909.0909090909,4402.98560637232,48051.4393939394,3252.95541889478,47916.4753747323
97,55551.8801739425,4330.37126552161,47045.4887218045,4371.77408218273,47753.3082706767,3242.15248033062,47916.4753747323
98,54700.4552493901,4268.87196995719,48443.6567164179,4560.22548710036,47993.9552238806,3226.8289175474,47916.4753747323
99,54141.3297123965,4171.90081270933,48195.9259259259,4533.01888805165,47842.1481481481,3206.37065716092,47916.4753747323
100,54495.3497322389,3436.60583661652,48304.7794117647,4500.76725660503,47684.4852941177,3186.55146893017,47916.4753747323
101,54396.7339191641,3971.57325440286,48133.9416058394,4470.9624896047,47548.102189781,3166.08136679392,47916.4753747323
102,54433.3387688186,4121.06981166166,48491.6666666667,4452.82542863147,47710.7971014493,3147.21008740095,47916.4753747323
103,53501.3187323515,4677.16974248828,48207.5539568345,4429.74526339008,48039.4244604317,3141.76387286298,47916.4753747323
104,53705.1213657467,4409.30473973297,47927.5,4406.84841890032,47982,3119.69361112873,47916.4753747323
105,53653.7149515061,4242.71884750334,48296.8085106383,4391.04016815591,47655.8865248227,3114.65228850264,47916.4753747323
106,54740.153548156,3971.73516009109,48117.2535211268,4363.62000635076,47605.4929577465,3092.97602396939,47916.4753747323
107,53366.1176577788,4773.37304166063,47920.6293706294,4337.38072635227,47499.8601398601,3073.02335575101,47916.4753747323
108,53707.8392648919,3349.95765747089,47594.8611111111,4319.43764416142,47336.6666666667,3055.92476350506,47916.4753747323
109,53256.218788499,3914.61597116786,47559.724137931,4289.58645866365,47031.5862068966,3050.10542767699,47916.4753747323
